,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,bed_type,minimum_nights,price,price_pred
96,strict_14_with_grace_period,f,12.0,Western Addition,Apartment,Entire home/apt,6.0,1.0,3.0,Real Bed,30.0,95.0,210.32532
2618,moderate,f,2.0,Castro/Upper Market,Cottage,Entire home/apt,3.0,2.0,2.0,Real Bed,30.0,325.0,192.01994
3039,flexible,t,1.0,Ocean View,House,Entire home/apt,5.0,4.0,4.0,Real Bed,3.0,195.0,306.91364
3968,moderate,f,2.0,Inner Richmond,Guest suite,Entire home/apt,4.0,1.0,1.0,Real Bed,2.0,280.0,155.88881
1149,moderate,f,2.0,Castro/Upper Market,Condominium,Entire home/apt,2.0,2.0,2.0,Real Bed,4.0,200.0,263.7143
156,super_strict_30,f,35.0,Financial District,Apartment,Entire home/apt,2.0,0.0,2.0,Real Bed,30.0,135.0,164.65414
1884,flexible,t,2.0,Castro/Upper Market,Apartment,Private room,2.0,1.0,1.0,Real Bed,10.0,200.0,120.35996
5585,moderate,f,1.0,Outer Richmond,House,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,300.0,177.39336
4316,moderate,t,2.0,Western Addition,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,150.0,126.33376
2113,moderate,f,4.0,Bernal Heights,House,Private room,2.0,1.0,1.0,Real Bed,3.0,95.0,115.364136
425,strict_14_with_grace_period,f,2.0,Mission,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,4.0,322.0,287.13574
1895,strict_14_with_grace_period,f,1.0,Potrero Hill,House,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,140.0,186.14003
3821,moderate,t,2.0,Bernal Heights,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,4.0,175.0,151.76103
3081,strict_14_with_grace_period,f,44.0,Bernal Heights,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,87.0,97.26435
447,strict_14_with_grace_period,t,1.0,Mission,Loft,Entire home/apt,3.0,1.0,1.0,Real Bed,7.0,399.0,178.75923
2901,moderate,f,1.0,South of Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,185.0,155.5972
5807,moderate,f,483.0,Financial District,Other,Entire home/apt,3.0,1.0,2.0,Real Bed,30.0,215.0,181.97444
592,moderate,f,1.0,Bernal Heights,Apartment,Entire home/apt,3.0,1.0,2.0,Real Bed,30.0,125.0,134.02444
4881,flexible,t,87.0,Downtown/Civic Center,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,76.0,95.1995
2116,strict_14_with_grace_period,f,1.0,Western Addition,Apartment,Entire home/apt,4.0,1.0,0.0,Real Bed,30.0,250.0,148.96947
4508,strict_14_with_grace_period,f,1.0,Outer Sunset,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,4.0,160.0,131.12709
131,strict_14_with_grace_period,f,1.0,Mission,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,97.0,128.75983
5940,flexible,t,2.0,Bernal Heights,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,250.0,137.33638
937,moderate,f,2.0,Pacific Heights,House,Entire home/apt,5.0,3.0,2.0,Real Bed,2.0,462.0,620.7644
1173,strict_14_with_grace_period,f,1.0,Haight Ashbury,Apartment,Entire home/apt,2.0,1.0,0.0,Real Bed,30.0,120.0,130.0582
5135,strict_14_with_grace_period,t,41.0,Chinatown,Serviced apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,2.0,95.0,106.05578
4370,moderate,f,2.0,Parkside,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,135.0,112.55356
6918,flexible,f,1.0,Potrero Hill,House,Entire home/apt,6.0,3.0,4.0,Real Bed,2.0,550.0,393.256
6920,strict_14_with_grace_period,t,7.0,North Beach,Villa,Shared room,1.0,1.0,1.0,Real Bed,31.0,80.0,107.997406
6359,strict_14_with_grace_period,t,165.0,South of Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,147.0,148.82211
3623,moderate,f,43.0,South of Market,House,Shared room,1.0,1.0,4.0,Real Bed,180.0,40.0,78.58481
6992,strict_14_with_grace_period,t,2.0,Haight Ashbury,House,Entire home/apt,6.0,2.0,3.0,Real Bed,30.0,250.0,242.21117
2209,strict_14_with_grace_period,f,2.0,Haight Ashbury,Apartment,Entire home/apt,2.0,0.0,2.0,Real Bed,30.0,295.0,116.93876
4691,moderate,f,1.0,Noe Valley,House,Private room,4.0,2.0,2.0,Real Bed,3.0,249.0,209.47469
6158,flexible,t,3.0,Parkside,House,Private room,2.0,1.0,1.0,Real Bed,30.0,60.0,65.97191
93,moderate,f,1.0,Inner Richmond,Apartment,Entire home/apt,2.0,1.0,2.0,Real Bed,30.0,80.0,127.715065
2692,flexible,f,7.0,Chinatown,House,Shared room,1.0,1.0,1.0,Real Bed,30.0,30.0,55.1157
4988,moderate,f,1.0,Inner Richmond,House,Private room,2.0,1.0,1.0,Real Bed,3.0,130.0,112.98346
4904,strict_14_with_grace_period,f,87.0,Mission,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,93.0,91.8336
6908,strict,f,852.0,Inner Richmond,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,140.0,161.88123
5843,moderate,f,852.0,Potrero Hill,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,218.0,168.25363
4259,moderate,t,1.0,Outer Sunset,Apartment,Entire home/apt,3.0,1.0,2.0,Real Bed,2.0,139.0,129.53496
1115,moderate,f,1.0,Russian Hill,Apartment,Entire home/apt,4.0,2.0,4.0,Real Bed,5.0,293.0,341.77957
4548,flexible,t,1.0,Russian Hill,Apartment,Entire home/apt,7.0,2.0,2.0,Real Bed,30.0,295.0,270.01422
5081,moderate,t,76.0,Western Addition,Boutique hotel,Private room,2.0,1.0,1.0,Real Bed,2.0,200.0,179.0521
5681,flexible,f,2.0,Outer Richmond,House,Private room,2.0,1.0,1.0,Real Bed,30.0,162.0,90.44088
476,strict_14_with_grace_period,t,5.0,Financial District,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,289.0,305.76624
6758,strict,f,852.0,Western Addition,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,199.0,182.45529
2510,flexible,t,2.0,Potrero Hill,Townhouse,Private room,1.0,1.0,1.0,Real Bed,2.0,88.0,102.28803
4305,moderate,t,2.0,Visitacion Valley,Guest suite,Entire home/apt,4.0,0.0,1.0,Real Bed,2.0,90.0,127.28485
4529,flexible,f,1.0,Inner Sunset,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,100.0,137.59749
3174,strict_14_with_grace_period,t,6.0,Inner Richmond,House,Private room,3.0,1.0,2.0,Real Bed,2.0,200.0,107.09353
7066,strict_14_with_grace_period,f,89.0,Downtown/Civic Center,Hotel,Private room,4.0,0.0,2.0,Real Bed,1.0,185.0,181.33144
6847,strict_14_with_grace_period,f,3.0,Excelsior,Apartment,Private room,2.0,1.0,1.0,Real Bed,7.0,175.0,79.14371
1024,strict_14_with_grace_period,f,1.0,Excelsior,House,Entire home/apt,4.0,2.0,2.0,Real Bed,3.0,185.0,196.67982
2192,strict_14_with_grace_period,f,89.0,Downtown/Civic Center,Boutique hotel,Private room,2.0,1.0,1.0,Real Bed,1.0,140.0,147.60065
1047,flexible,f,1.0,South of Market,House,Entire home/apt,5.0,2.0,2.0,Real Bed,2.0,333.0,297.747
4198,flexible,f,2.0,Bayview,Guest suite,Entire home/apt,4.0,0.0,2.0,Real Bed,1.0,149.0,120.90683
5910,moderate,f,3.0,Lakeshore,House,Private room,2.0,1.0,1.0,Real Bed,1.0,85.0,76.214836
1002,moderate,t,2.0,Noe Valley,Guest suite,Entire home/apt,3.0,1.0,2.0,Real Bed,30.0,220.0,135.85098
487,strict_14_with_grace_period,f,7.0,Chinatown,House,Shared room,1.0,1.0,1.0,Real Bed,30.0,30.0,42.1576
2108,moderate,f,4.0,Bernal Heights,House,Entire home/apt,3.0,3.0,3.0,Real Bed,30.0,186.0,186.68486
4816,moderate,f,3.0,Castro/Upper Market,Guest suite,Entire home/apt,2.0,0.0,1.0,Real Bed,3.0,145.0,145.84389
2570,strict_14_with_grace_period,t,2.0,Outer Mission,House,Private room,2.0,1.0,1.0,Real Bed,30.0,90.0,71.545746
1666,flexible,t,2.0,Mission,Apartment,Private room,2.0,1.0,1.0,Real Bed,1.0,174.0,114.165596
6795,flexible,t,36.0,Downtown/Civic Center,Apartment,Private room,1.0,1.0,1.0,Real Bed,30.0,50.0,55.905125
561,moderate,f,2.0,Mission,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,115.0,117.474556
4219,moderate,t,1.0,Outer Sunset,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,100.0,109.97733
6214,flexible,t,1.0,Noe Valley,Apartment,Private room,1.0,1.0,1.0,Real Bed,180.0,53.0,107.40291
3829,moderate,f,1.0,Pacific Heights,House,Private room,1.0,1.0,1.0,Real Bed,2.0,200.0,119.76444
4867,strict_14_with_grace_period,f,87.0,Mission,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,86.0,91.8336
334,strict_14_with_grace_period,f,2.0,Haight Ashbury,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,110.0,127.75124
5931,flexible,f,1.0,Outer Mission,House,Private room,2.0,0.0,2.0,Real Bed,1.0,80.0,87.236664
5145,strict_14_with_grace_period,f,67.0,Downtown/Civic Center,Hotel,Private room,4.0,0.0,2.0,Real Bed,1.0,199.0,163.40039
4330,strict_14_with_grace_period,f,89.0,Downtown/Civic Center,Boutique hotel,Private room,2.0,0.0,1.0,Real Bed,1.0,140.0,150.89026
1009,moderate,f,3.0,Bernal Heights,House,Entire home/apt,7.0,3.0,5.0,Real Bed,2.0,325.0,299.99078
4967,strict_14_with_grace_period,f,5.0,Bayview,Townhouse,Entire home/apt,6.0,3.0,3.0,Real Bed,1.0,269.0,323.0134
23,strict_14_with_grace_period,t,2.0,Bernal Heights,Condominium,Private room,1.0,1.0,1.0,Real Bed,3.0,100.0,103.08745
3763,strict_14_with_grace_period,f,2.0,Mission,House,Entire home/apt,4.0,3.0,3.0,Real Bed,4.0,450.0,350.9043
1512,moderate,t,3.0,Pacific Heights,House,Private room,2.0,1.0,1.0,Real Bed,1.0,139.0,144.57312
1484,moderate,t,15.0,Marina,Hotel,Private room,6.0,1.0,3.0,Real Bed,1.0,169.0,320.54977
2246,flexible,f,25.0,North Beach,Bed and breakfast,Private room,2.0,1.0,1.0,Real Bed,1.0,95.0,109.270454
4590,strict_14_with_grace_period,f,3.0,Pacific Heights,Apartment,Private room,1.0,1.0,1.0,Real Bed,1.0,119.0,112.796486
3102,moderate,t,1.0,North Beach,Apartment,Entire home/apt,4.0,2.0,3.0,Real Bed,30.0,209.0,215.67343
4577,moderate,t,2.0,South of Market,Apartment,Shared room,2.0,1.0,2.0,Real Bed,1.0,69.0,170.0457
1262,moderate,t,4.0,Mission,Apartment,Private room,2.0,1.0,2.0,Real Bed,5.0,95.0,128.651
4829,flexible,f,2.0,Outer Sunset,Apartment,Entire home/apt,4.0,1.0,1.0,Real Bed,31.0,100.0,143.98735
5274,flexible,t,37.0,Financial District,Boutique hotel,Private room,4.0,1.0,2.0,Real Bed,2.0,300.0,165.79454
2665,moderate,f,8.0,Pacific Heights,Apartment,Private room,1.0,1.0,2.0,Real Bed,30.0,90.0,81.91386
2500,strict_14_with_grace_period,f,1.0,North Beach,House,Entire home/apt,6.0,3.0,2.0,Real Bed,3.0,700.0,411.50824
2630,moderate,f,2.0,Parkside,Guest suite,Entire home/apt,4.0,1.0,2.0,Real Bed,1.0,140.0,127.24987
6498,strict_14_with_grace_period,f,3.0,Noe Valley,House,Entire home/apt,5.0,2.0,3.0,Real Bed,1.0,499.0,303.01797
6243,strict_14_with_grace_period,f,63.0,Crocker Amazon,House,Shared room,2.0,1.0,2.0,Real Bed,2.0,40.0,43.5026
6890,flexible,f,1.0,Western Addition,Condominium,Private room,2.0,1.0,1.0,Real Bed,1.0,120.0,132.45987
3831,moderate,t,2.0,Bernal Heights,Apartment,Private room,2.0,1.0,1.0,Real Bed,3.0,158.0,115.50269
736,strict_14_with_grace_period,t,1.0,Mission,House,Private room,2.0,1.0,1.0,Real Bed,1.0,100.0,109.058395
6543,moderate,f,2.0,Western Addition,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,160.0,127.491
3309,moderate,t,7.0,Outer Sunset,House,Private room,2.0,1.0,1.0,Real Bed,1.0,82.0,71.851654
4983,moderate,f,1.0,Excelsior,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,200.0,115.872536
2414,strict_14_with_grace_period,t,4.0,Western Addition,Condominium,Private room,3.0,1.0,1.0,Real Bed,2.0,139.0,207.09576
4197,flexible,f,4.0,Glen Park,Guest suite,Private room,2.0,1.0,1.0,Real Bed,30.0,109.0,112.25894
1544,strict_14_with_grace_period,t,1.0,Twin Peaks,Condominium,Entire home/apt,2.0,2.0,2.0,Real Bed,30.0,190.0,220.0243
4022,moderate,t,1.0,Bayview,Guest suite,Entire home/apt,4.0,1.0,3.0,Real Bed,2.0,127.0,120.37054
6052,strict_14_with_grace_period,t,3.0,Ocean View,House,Private room,2.0,1.0,1.0,Real Bed,30.0,45.0,60.597733
7089,strict_14_with_grace_period,f,67.0,Downtown/Civic Center,Hotel,Private room,4.0,0.0,2.0,Real Bed,1.0,199.0,163.40039
2406,strict_14_with_grace_period,f,1.0,Potrero Hill,House,Entire home/apt,6.0,3.0,3.0,Real Bed,3.0,500.0,414.2158
6084,moderate,f,2.0,Nob Hill,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,190.0,159.12285
1296,moderate,t,4.0,Ocean View,House,Private room,2.0,1.0,1.0,Real Bed,1.0,60.0,72.160645
5719,moderate,f,1.0,Marina,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,215.0,204.20682
4048,strict_14_with_grace_period,t,2.0,Nob Hill,House,Entire home/apt,4.0,1.0,2.0,Real Bed,30.0,100.0,182.77553
1766,strict_14_with_grace_period,t,3.0,Ocean View,Apartment,Entire home/apt,2.0,1.0,2.0,Real Bed,30.0,116.0,91.59589
1776,strict_14_with_grace_period,f,2.0,Bayview,Townhouse,Entire home/apt,4.0,2.0,2.0,Real Bed,31.0,110.0,200.88345
2167,strict_14_with_grace_period,f,101.0,Inner Richmond,Apartment,Entire home/apt,6.0,2.0,3.0,Real Bed,30.0,270.0,242.97891
378,strict_14_with_grace_period,f,1.0,Bernal Heights,Apartment,Shared room,2.0,1.0,1.0,Futon,30.0,79.0,175.69426
6579,strict_14_with_grace_period,f,2.0,Bayview,Townhouse,Private room,2.0,1.0,1.0,Real Bed,30.0,80.0,71.23966
5899,moderate,t,3.0,Parkside,House,Private room,2.0,1.0,2.0,Real Bed,1.0,75.0,75.7714
5139,moderate,f,852.0,Nob Hill,Condominium,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,172.0,146.03516
199,strict_14_with_grace_period,f,5.0,Castro/Upper Market,Serviced apartment,Entire home/apt,5.0,2.0,3.0,Real Bed,120.0,175.0,280.53207
842,strict_14_with_grace_period,f,1.0,Potrero Hill,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,110.0,129.66112
6757,strict_14_with_grace_period,t,1.0,Nob Hill,Condominium,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,99.0,211.39734
3035,flexible,f,1.0,Russian Hill,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,90.0,3250.0,164.53004
3408,strict_14_with_grace_period,t,6.0,Nob Hill,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,148.0,123.19779
3781,strict_14_with_grace_period,f,14.0,Parkside,Apartment,Private room,2.0,1.0,2.0,Real Bed,30.0,75.0,60.34747
965,moderate,f,2.0,Pacific Heights,Apartment,Entire home/apt,4.0,2.0,3.0,Real Bed,4.0,500.0,359.65817
3943,strict_14_with_grace_period,f,44.0,South of Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,165.0,124.51092
5848,moderate,t,3.0,Parkside,House,Private room,4.0,1.0,3.0,Real Bed,1.0,98.0,99.20949
1194,strict_14_with_grace_period,f,2.0,Outer Sunset,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,155.0,129.97552
4957,strict_14_with_grace_period,f,1.0,Outer Mission,House,Entire home/apt,1.0,0.0,1.0,Real Bed,30.0,175.0,85.098145
1336,moderate,f,2.0,Haight Ashbury,Townhouse,Private room,1.0,1.0,1.0,Real Bed,2.0,119.0,96.26176
1730,moderate,f,1.0,Noe Valley,Guest suite,Entire home/apt,4.0,1.0,2.0,Real Bed,2.0,200.0,170.51912
6021,flexible,t,23.0,Noe Valley,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,175.0,130.18275
1868,moderate,f,3.0,Outer Sunset,House,Private room,1.0,1.0,1.0,Real Bed,2.0,60.0,75.032135
4463,strict_14_with_grace_period,f,8.0,Western Addition,Apartment,Private room,2.0,1.0,1.0,Real Bed,30.0,66.0,96.4657
5198,moderate,f,3.0,Western Addition,House,Private room,5.0,1.0,1.0,Real Bed,2.0,174.0,152.96468
1865,strict_14_with_grace_period,f,1.0,Inner Sunset,House,Entire home/apt,6.0,3.0,4.0,Real Bed,7.0,400.0,394.90543
6345,strict_14_with_grace_period,t,165.0,South of Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,160.0,148.82211
5123,strict_14_with_grace_period,t,1199.0,South of Market,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,194.0,189.61197
1560,strict_14_with_grace_period,f,1.0,Haight Ashbury,Apartment,Private room,1.0,1.0,1.0,Pull-out Sofa,30.0,80.0,80.37312
4592,flexible,t,23.0,Marina,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,3050.0,126.2017
6127,flexible,t,4.0,Ocean View,House,Private room,4.0,2.0,4.0,Real Bed,5.0,180.0,169.33919
6481,flexible,f,1.0,Glen Park,House,Private room,2.0,1.0,1.0,Real Bed,2.0,105.0,122.64274
5596,moderate,t,5.0,Bernal Heights,House,Entire home/apt,6.0,3.0,3.0,Real Bed,5.0,250.0,308.69766
2021,moderate,t,1.0,Marina,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,129.0,125.00175
3242,flexible,t,7.0,Downtown/Civic Center,Hostel,Private room,2.0,1.0,1.0,Real Bed,1.0,70.0,90.35845
4633,moderate,t,5.0,Bayview,House,Private room,2.0,1.0,1.0,Real Bed,30.0,60.0,58.135384
1198,strict_14_with_grace_period,f,2.0,Mission,Apartment,Entire home/apt,4.0,2.0,4.0,Real Bed,14.0,250.0,198.61
3626,super_strict_30,t,27.0,Haight Ashbury,House,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,175.0,152.97556
1211,moderate,f,1.0,Mission,Guest suite,Entire home/apt,2.0,0.0,1.0,Real Bed,4.0,125.0,139.21626
2860,strict_14_with_grace_period,f,1.0,Russian Hill,House,Entire home/apt,6.0,3.0,3.0,Real Bed,2.0,1200.0,693.22125
2841,moderate,f,2.0,Excelsior,House,Entire home/apt,6.0,3.0,3.0,Real Bed,7.0,200.0,258.89
547,strict_14_with_grace_period,t,1.0,Potrero Hill,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,181.0,128.94681
2524,strict_14_with_grace_period,f,4.0,Western Addition,Townhouse,Entire home/apt,6.0,3.0,4.0,Real Bed,30.0,275.0,428.8467
3101,moderate,f,1.0,Mission,Apartment,Entire home/apt,6.0,3.0,3.0,Real Bed,3.0,400.0,350.02466
6072,strict_14_with_grace_period,f,799.0,South of Market,Apartment,Entire home/apt,3.0,0.0,2.0,Real Bed,30.0,239.0,150.31357
2284,flexible,f,1.0,Pacific Heights,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,185.0,190.63196
1742,moderate,f,1.0,Bernal Heights,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,135.0,148.04509
1607,moderate,f,1.0,Inner Sunset,Apartment,Private room,2.0,1.0,1.0,Real Bed,1.0,66.0,109.19306
6301,strict_14_with_grace_period,t,165.0,Western Addition,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,157.0,148.64807
2182,flexible,t,31.0,Castro/Upper Market,Serviced apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,170.0,149.48225
2887,strict_14_with_grace_period,f,55.0,Downtown/Civic Center,Apartment,Private room,1.0,1.0,1.0,Real Bed,30.0,49.0,51.817482
2629,strict_14_with_grace_period,f,1.0,South of Market,Loft,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,220.0,178.08315
4449,moderate,t,1.0,Bayview,House,Entire home/apt,5.0,2.0,3.0,Real Bed,1.0,179.0,190.30666
3281,moderate,f,2.0,Mission,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,355.0,241.20522
1144,strict_14_with_grace_period,f,1.0,Mission,Apartment,Entire home/apt,3.0,1.0,1.0,Real Bed,6.0,210.0,148.66644
4077,moderate,f,1.0,Noe Valley,Apartment,Entire home/apt,4.0,1.0,1.0,Real Bed,30.0,140.0,154.43488
3951,moderate,f,2.0,North Beach,Apartment,Entire home/apt,3.0,2.0,2.0,Real Bed,30.0,169.0,185.40887
3608,moderate,t,1.0,Excelsior,House,Entire home/apt,8.0,3.0,3.0,Real Bed,2.0,300.0,260.0102
1078,strict_14_with_grace_period,t,2.0,Western Addition,Apartment,Private room,2.0,1.0,1.0,Real Bed,1.0,99.0,129.30972
2265,moderate,f,2.0,Noe Valley,Condominium,Entire home/apt,4.0,2.0,2.0,Futon,2.0,168.0,284.16992
2376,super_strict_30,f,82.0,Downtown/Civic Center,Apartment,Private room,4.0,1.0,2.0,Real Bed,1.0,259.0,176.99452
4191,strict_14_with_grace_period,f,5.0,Downtown/Civic Center,Serviced apartment,Entire home/apt,4.0,1.0,2.0,Real Bed,3.0,500.0,368.98093
3314,moderate,t,8.0,South of Market,Apartment,Shared room,4.0,1.0,4.0,Real Bed,30.0,39.0,72.82048
518,flexible,t,31.0,South of Market,Serviced apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,199.0,153.00053
611,strict_14_with_grace_period,f,1.0,Outer Sunset,House,Entire home/apt,7.0,3.0,5.0,Real Bed,7.0,290.0,267.40167
3787,moderate,t,2.0,Noe Valley,Guest suite,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,250.0,184.67381
3456,flexible,f,1.0,Excelsior,Guest suite,Entire home/apt,2.0,0.0,2.0,Real Bed,2.0,100.0,105.39784
2311,strict_14_with_grace_period,f,101.0,Inner Richmond,Condominium,Entire home/apt,3.0,1.0,1.0,Real Bed,30.0,210.0,176.0002
5540,moderate,t,2.0,Western Addition,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,148.0,163.90955
491,moderate,t,3.0,Crocker Amazon,House,Private room,2.0,1.0,2.0,Real Bed,3.0,51.0,77.97189
1222,strict_14_with_grace_period,t,1.0,Russian Hill,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,40.0,194.0,335.30304
1761,flexible,f,1.0,Potrero Hill,House,Private room,2.0,1.0,1.0,Real Bed,30.0,80.0,102.85246
323,strict_14_with_grace_period,f,2.0,Potrero Hill,Apartment,Entire home/apt,3.0,1.0,0.0,Real Bed,30.0,170.0,130.10971
4649,strict_14_with_grace_period,t,2.0,Potrero Hill,Condominium,Private room,8.0,4.0,4.0,Real Bed,2.0,425.0,495.05887
3248,strict_14_with_grace_period,f,2.0,Twin Peaks,House,Entire home/apt,5.0,2.0,2.0,Real Bed,1.0,189.0,306.28052
4089,flexible,f,1.0,Nob Hill,House,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,200.0,149.57149
6228,strict_14_with_grace_period,f,2.0,Western Addition,Apartment,Private room,1.0,1.0,1.0,Real Bed,30.0,44.0,80.85403
4032,strict_14_with_grace_period,t,3.0,Noe Valley,House,Entire home/apt,4.0,2.0,3.0,Real Bed,1.0,299.0,286.3343
4764,flexible,t,53.0,Downtown/Civic Center,Boutique hotel,Private room,2.0,0.0,1.0,Real Bed,1.0,79.0,87.17423
7137,strict_14_with_grace_period,f,67.0,Downtown/Civic Center,Hotel,Private room,4.0,0.0,2.0,Real Bed,1.0,199.0,163.40039
3223,moderate,t,3.0,Western Addition,House,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,350.0,274.78513
324,strict_14_with_grace_period,f,2.0,Mission,Condominium,Entire home/apt,5.0,2.0,2.0,Real Bed,30.0,300.0,227.70006
4919,moderate,t,2.0,Mission,Condominium,Private room,2.0,1.0,1.0,Real Bed,2.0,140.0,119.08021
586,flexible,f,2.0,Outer Richmond,Bed and breakfast,Private room,2.0,1.0,1.0,Real Bed,2.0,120.0,115.495605
3963,moderate,f,1.0,Financial District,Apartment,Private room,2.0,1.0,1.0,Real Bed,30.0,99.0,137.30756
4414,strict_14_with_grace_period,t,5.0,Downtown/Civic Center,Apartment,Private room,2.0,1.0,1.0,Real Bed,1.0,99.0,99.66499
5772,flexible,f,1.0,Outer Richmond,House,Private room,2.0,1.0,1.0,Real Bed,1.0,72.0,103.94959
706,strict_14_with_grace_period,f,1.0,Castro/Upper Market,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,135.0,151.2506
1169,flexible,f,2.0,Mission,Apartment,Private room,2.0,1.0,1.0,Real Bed,1.0,75.0,115.02333
2971,flexible,t,28.0,Downtown/Civic Center,Boutique hotel,Private room,2.0,0.0,1.0,Real Bed,1.0,112.0,94.6836
7040,flexible,t,8.0,Downtown/Civic Center,Apartment,Private room,1.0,1.0,1.0,Real Bed,30.0,50.0,61.336235
3991,strict_14_with_grace_period,f,6.0,Parkside,Other,Private room,2.0,1.0,2.0,Real Bed,1.0,99.0,90.634766
2477,strict_14_with_grace_period,f,1.0,Russian Hill,Apartment,Entire home/apt,6.0,2.0,3.0,Real Bed,30.0,399.0,388.73233
1821,moderate,f,2.0,Glen Park,House,Private room,2.0,1.0,1.0,Real Bed,2.0,69.0,120.20633
3319,moderate,t,2.0,Bernal Heights,Townhouse,Private room,2.0,1.0,1.0,Real Bed,1.0,100.0,104.31366
2670,strict_14_with_grace_period,t,3.0,Parkside,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,120.0,104.01973
2689,strict_14_with_grace_period,f,1.0,Bernal Heights,House,Entire home/apt,8.0,4.0,5.0,Real Bed,3.0,600.0,457.67865
6696,moderate,f,3.0,Outer Mission,House,Entire home/apt,5.0,2.0,3.0,Real Bed,2.0,200.0,212.85512
5885,moderate,f,2.0,Western Addition,Condominium,Private room,2.0,1.0,1.0,Real Bed,1.0,135.0,132.01918
4061,flexible,t,1.0,Bayview,House,Entire home/apt,3.0,2.0,2.0,Real Bed,2.0,110.0,201.42213
2227,flexible,t,1.0,South of Market,Loft,Shared room,1.0,1.0,1.0,Real Bed,30.0,40.0,237.70135
3110,strict_14_with_grace_period,f,1.0,North Beach,Condominium,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,250.0,156.33655
4423,flexible,t,1.0,Glen Park,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,120.0,155.09901
88,super_strict_30,f,35.0,Seacliff,Apartment,Entire home/apt,4.0,3.0,3.0,Real Bed,30.0,185.0,345.30078
734,moderate,t,1.0,Bernal Heights,Guest suite,Entire home/apt,6.0,1.0,3.0,Real Bed,2.0,167.0,183.42404
